ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
Qwerky,RRRR,4790563636,True,SUPPORT,Leona,1,3,14,34,4447,7101,9951,1.26,165.42,264.14,370.15,9,-1166,581,3304,0.48,False,1.53,0,0,12.85,5.18
Rhaastakhan,Yuumi or Bust,4790563636,True,TOP,Ornn,0,5,2,132,6346,6640,11807,4.91,236.06,246.99,439.19,-92,-11343,-5209,-3982,0.2,False,0.52,0,0,15.27,10.46
SanicSpeedzx,Yuumi or Bust,4790563636,True,JUNGLE,Graves,3,6,2,165,12186,9009,10021,6.14,453.29,335.11,372.76,32,149,-1648,-1492,0.5,False,0.67,0,0,20.72,20.08
Godrick,Yuumi or Bust,4790563636,True,MIDDLE,Yorick,1,5,3,194,15930,10062,12358,7.22,592.56,374.28,459.69,5,799,-1376,-2308,0.4,False,0.45,4,1,23.14,26.25
Tank2020,Yuumi or Bust,4790563636,True,BOTTOM,KogMaw,5,7,3,179,20620,11255,10150,6.66,767.02,418.66,377.56,-1,-15878,-2967,-1877,0.8,True,0.67,3,1,25.88,33.97
bables,Yuumi or Bust,4790563636,True,SUPPORT,Rakan,1,8,7,25,5613,6520,6647,0.93,208.79,242.53,247.25,-9,1166,-581,-3304,0.8,False,2.01,1,0,14.99,9.25
Zehan,Team China,4790567897,False,TOP,Gwen,3,5,7,244,20389,13757,18126,8.12,678.5,457.8,603.19,22,495,-1229,2186,0.38,False,0.8,4,1,21.5,21.46
MisterCoolBlue,Team China,4790567897,False,JUNGLE,Zac,4,2,10,186,14018,11541,14889,6.19,466.49,384.06,495.47,-3,-141,-353,1240,0.54,False,0.9,1,0,18.04,14.76
LukeRTG,Team China,4790567897,False,MIDDLE,Tristana,5,5,3,238,24031,12980,16121,7.92,799.7,431.95,536.47,48,8197,1563,10,0.31,False,0.7,2,1,20.28,25.29
jr1,Team China,4790567897,False,BOTTOM,Yasuo,10,4,7,259,28397,15681,14528,8.62,944.99,521.83,483.46,69,18946,5632,3015,0.65,False,0.63,5,0,24.51,29.89
NixWS,Team China,4790567897,False,SUPPORT,Nautilus,4,4,14,31,8170,10032,11415,1.03,271.88,333.84,379.87,2,3972,3229,221,0.69,False,2.73,5,0,15.68,8.6
hpgamer7,the kitchen,4790567897,False,TOP,Garen,8,5,5,222,19894,14986,15940,7.39,662.03,498.7,530.45,-22,-495,1229,-2186,0.65,True,0.77,8,3,27.17,31.31
SANTIx9,the kitchen,4790567897,False,JUNGLE,Poppy,6,4,6,189,14159,11894,13649,6.29,471.18,395.81,454.21,3,141,353,-1240,0.6,False,0.73,1,1,21.57,22.29
ximmykun,the kitchen,4790567897,False,MIDDLE,Kassadin,4,5,7,190,15834,11417,16111,6.32,526.92,379.93,536.14,-48,-8197,-1563,-10,0.55,False,0.63,0,1,20.7,24.92
op2001,the kitchen,4790567897,False,BOTTOM,Sivir,2,7,8,190,9451,10049,11513,6.32,314.51,334.41,383.13,-69,-18946,-5632,-3015,0.5,False,0.6,0,0,18.22,14.88
